postal_address,street,city,state,zip_code,latitude,longitude
"6549 Cheryl Mount Apt. 814, East Dianaville, NE 68082",6549 Cheryl Mount Apt. 814,East Dianaville,NE,68082,41.205113,-97.136885
"274 Cooper Road, Lake Luis, VA 23405",274 Cooper Road,Lake Luis,VA,23405,38.540922,-77.30121
"03800 Joyce Hills Apt. 464, Lake Charles, MA 02104",03800 Joyce Hills Apt. 464,Lake Charles,MA,02104,41.664977,-71.135253
"83544 Janet Lake Suite 667, Port Austin, AK 99667",83544 Janet Lake Suite 667,Port Austin,AK,99667,65.739115,-143.977991
"452 Brooke Mill, South Cesar, DC 20032",452 Brooke Mill,South Cesar,DC,20032,38.791645,-77.119759
"686 Ferguson Drive Apt. 831, Teresaside, NE 68047",686 Ferguson Drive Apt. 831,Teresaside,NE,68047,40.609612,-96.828319
"6563 Eddie Plaza, West Alexandermouth, AL 36166",6563 Eddie Plaza,West Alexandermouth,AL,36166,34.035716,-84.888246
"91125 White Stream Apt. 383, North Kellyberg, SD 57240",91125 White Stream Apt. 383,North Kellyberg,SD,57240,43.132874,-101.648367
"26457 Lisa Summit, Port Amanda, MN 55482",26457 Lisa Summit,Port Amanda,MN,55482,46.339089,-96.268893
"5055 Jean Ramp, Watsonfort, HI 96716",5055 Jean Ramp,Watsonfort,HI,96716,19.881478,-155.795026
"48986 Heather Cove, Martinezfurt, AR 72164",48986 Heather Cove,Martinezfurt,AR,72164,36.499749,-94.617859
"85573 Roberto Run Suite 908, Vincentberg, NH 03560",85573 Roberto Run Suite 908,Vincentberg,NH,03560,42.697042,-71.081865
"6787 Jessica Forge Suite 014, Louistown, ID 83536",6787 Jessica Forge Suite 014,Louistown,ID,83536,49.000846,-114.713129
"3102 Maldonado Meadows, Marquezburgh, SD 57459",3102 Maldonado Meadows,Marquezburgh,SD,57459,43.123576,-101.937755
"3283 Thompson Row, West Carl, KY 40704",3283 Thompson Row,West Carl,KY,40704,38.312509,-87.317219
"29001 Le Estate, Fryetown, UT 84417",29001 Le Estate,Fryetown,UT,84417,42.001702,-109.262217
"978 Evans Street Apt. 130, Port Kirk, WI 53032",978 Evans Street Apt. 130,Port Kirk,WI,53032,42.49172,-91.920535
"6109 Kelly Hills, Laurenshire, NH 03355",6109 Kelly Hills,Laurenshire,NH,03355,43.578705,-71.75523
"3777 Elizabeth Springs, Kellyland, NV 89626",3777 Elizabeth Springs,Kellyland,NV,89626,39.121183,-120.006473
"79305 Susan Burgs, Doylestad, NJ 08613",79305 Susan Burgs,Doylestad,NJ,08613,41.299889,-75.563586
"8097 Lowe Unions Apt. 174, Davidstad, NH 03836",8097 Lowe Unions Apt. 174,Davidstad,NH,03836,43.150634,-71.804074
"88247 Hatfield Springs, Wagnertown, NM 88407",88247 Hatfield Springs,Wagnertown,NM,88407,33.445909,-103.453947
"40174 Brenda Knolls, Lake Christinemouth, ND 58398",40174 Brenda Knolls,Lake Christinemouth,ND,58398,48.180247,-103.844017
"839 Richard Pass, Laurashire, NM 87676",839 Richard Pass,Laurashire,NM,87676,32.834125,-105.955725
"3523 Wagner Loop, East Desireeborough, OR 97683",3523 Wagner Loop,East Desireeborough,OR,97683,45.250563,-123.186961
"775 Horton Ramp, South Christopherville, DC 20003",775 Horton Ramp,South Christopherville,DC,20003,38.791645,-76.909393
"987 Ashley Vista Suite 953, East Candice, MA 02422",987 Ashley Vista Suite 953,East Candice,MA,02422,42.659178,-71.324541
"910 Kelley Parkways, New Crystalside, AZ 85450",910 Kelley Parkways,New Crystalside,AZ,85450,32.374256,-113.655777
