streamId,movieId,userId,startTime,completed
1,616,453,2024-06-03 06:23:57,True
2,68237,292,2024-08-29 00:20:26,True
3,1747,627,2024-12-21 05:42:32,True
4,71466,557,2024-01-29 16:47:33,True
5,57640,140,2024-09-11 09:52:46,True
6,1196,654,2024-05-08 01:01:14,True
7,7487,332,2024-02-08 05:32:44,True
8,798,163,2024-01-27 03:16:45,False
9,3051,253,2024-11-19 05:48:18,True
10,3578,553,2024-09-23 08:18:46,True
11,2890,36,2024-09-24 01:43:20,True
12,1089,498,2024-12-25 22:17:21,True
13,1148,272,2024-05-13 19:25:45,True
14,1287,206,2024-09-29 20:14:19,True
15,2020,352,2024-04-16 02:30:17,True
16,3527,33,2024-08-10 18:32:04,True
17,6502,151,2024-03-04 19:29:04,True
18,364,96,2024-10-26 07:41:40,True
19,357,5,2024-07-26 07:26:48,True
20,4370,13,2024-03-14 03:07:15,True
21,50,38,2024-02-10 20:59:00,True
22,2720,306,2024-01-23 03:54:39,True
23,4928,257,2024-03-21 21:27:36,True
24,26025,346,2024-07-28 05:14:09,True
25,1288,434,2024-11-23 19:10:52,True
26,44694,512,2024-11-25 09:10:24,True
27,31658,90,2024-12-20 18:02:15,True
28,4433,648,2024-12-12 13:30:15,True
29,5349,379,2024-03-16 11:25:42,True
30,2565,617,2024-11-25 19:31:06,True
31,89840,570,2024-03-21 12:51:41,True
32,1358,314,2024-04-02 17:52:49,True
33,6618,442,2024-05-26 23:47:49,True
34,1288,255,2024-11-10 12:22:19,True
35,1097,17,2024-05-06 02:22:45,True
36,4765,166,2024-10-22 01:05:11,True
37,1476,360,2024-06-06 23:03:51,True
38,6213,595,2024-01-16 18:35:48,True
39,1372,119,2024-09-14 11:04:30,True
40,2671,589,2024-08-05 19:15:45,True
41,5418,463,2024-10-16 09:48:17,True
42,474,196,2024-10-07 15:51:40,True
43,4606,87,2024-09-09 23:34:04,False
44,2174,382,2024-05-12 09:02:02,True
45,1230,668,2024-10-12 01:08:01,True
46,1099,511,2024-07-03 16:01:19,True
47,3069,666,2024-08-11 16:27:28,True
48,1721,574,2024-04-25 12:50:33,True
49,2692,208,2024-08-19 02:21:57,True
50,300,544,2024-09-08 13:43:09,True
51,736,204,2024-06-22 21:17:00,True
52,3752,131,2024-07-09 10:53:34,True
53,4327,665,2024-11-12 11:22:25,True
54,2406,326,2024-12-14 13:12:33,True
55,3468,610,2024-10-05 05:36:19,True
56,4367,121,2024-08-05 20:34:47,True
57,6708,58,2024-12-15 08:01:13,True
58,7419,447,2024-08-20 05:38:49,True
59,2724,555,2024-05-27 01:05:23,True
60,45186,330,2024-02-26 23:21:20,True
61,79293,150,2024-07-19 15:53:49,True
62,32,334,2024-10-09 07:54:52,True
63,6565,445,2024-05-21 14:25:40,True
64,788,49,2024-10-28 03:13:55,True
65,299,73,2024-03-02 11:05:47,True
66,1213,192,2024-07-30 01:34:45,True
67,8633,89,2024-10-03 08:31:07,True
68,5986,230,2024-06-11 23:04:13,True
69,1663,394,2024-03-27 10:38:13,True
70,4971,636,2024-08-03 05:07:38,True
71,2808,12,2024-09-06 10:14:19,False
72,8464,10,2024-08-08 12:09:38,True
73,101577,26,2024-03-22 09:05:24,True
74,3801,456,2024-11-23 15:02:03,True
75,50068,93,2024-03-17 20:41:53,True
76,4370,571,2024-12-03 16:11:51,True
77,208,489,2024-09-29 18:08:26,True
78,1639,136,2024-08-06 19:47:57,True
79,539,147,2024-05-15 03:28:00,True
80,8644,187,2024-02-20 12:28:02,True
81,484,562,2024-02-26 05:59:34,False
82,3624,575,2024-03-31 16:09:06,True
83,4775,298,2024-09-11 12:15:46,True
84,79293,240,2024-03-09 04:46:19,True
85,6378,159,2024-09-01 09:20:08,True
86,11,454,2024-04-21 13:26:17,True
87,380,276,2024-11-10 00:23:01,True
88,1274,394,2024-07-08 13:40:04,True
89,272,163,2024-09-10 15:50:33,True
90,6539,381,2024-09-10 06:22:13,True
91,5991,99,2024-11-13 00:57:32,False
92,1968,163,2024-11-12 02:00:59,True
93,414,381,2024-04-01 06:11:48,True
94,3556,211,2024-09-20 21:28:42,True
95,1772,52,2024-07-28 09:34:46,True
96,1719,146,2024-11-12 00:23:48,True
97,8638,573,2024-08-13 14:35:31,True
98,3300,291,2024-10-05 23:55:14,True
99,1917,329,2024-05-02 13:53:01,True
100,3869,605,2024-06-25 20:58:14,True
101,68319,481,2024-03-10 10:04:30,True
102,2100,420,2024-08-16 02:05:20,True
103,7386,282,2024-08-15 20:10:01,True
104,45720,600,2024-06-06 02:04:17,True
105,296,339,2024-11-24 04:53:35,True
106,108090,514,2024-04-01 06:10:44,True
107,1265,341,2024-11-18 09:16:20,True
108,2858,331,2024-07-06 11:22:17,True
109,59369,498,2024-06-04 10:27:30,True
110,198,564,2024-12-29 00:22:22,True
111,497,307,2024-07-06 02:02:13,True
112,122902,474,2024-08-19 08:39:58,True
113,4161,42,2024-10-27 23:27:46,True
114,531,648,2024-06-15 17:16:32,True
115,82461,268,2024-07-25 02:15:31,True
116,592,395,2024-08-06 20:24:17,True
117,215,662,2024-02-10 00:18:13,True
118,1061,410,2024-01-23 03:16:47,True
119,17,367,2024-01-10 10:50:24,True
120,1339,353,2024-09-26 13:04:49,True
121,1097,637,2024-12-29 02:08:07,True
122,34,262,2024-01-20 18:10:01,True
123,2581,507,2024-11-01 16:36:55,True
124,541,336,2024-11-29 00:14:13,True
125,4444,199,2024-08-10 14:05:04,True
126,300,667,2024-06-19 21:07:03,True
127,1231,539,2024-08-20 17:17:22,True
128,608,135,2024-06-29 08:32:13,True
129,8784,98,2024-05-24 23:17:37,True
130,296,378,2024-10-17 17:24:16,True
131,500,278,2024-01-02 03:52:56,True
132,45722,530,2024-05-27 19:01:36,True
133,3925,400,2024-04-28 18:05:19,True
134,588,455,2024-07-18 08:08:04,True
135,1918,210,2024-03-25 08:17:10,True
136,424,94,2024-04-17 03:15:25,True
137,2600,348,2024-11-27 03:02:36,True
138,3196,336,2024-07-27 21:57:20,True
139,5418,642,2024-10-04 00:34:16,True
140,1187,313,2024-05-21 12:42:48,True
141,6104,82,2024-03-20 19:24:40,True
142,527,596,2024-02-03 20:33:34,True
143,7045,96,2024-01-18 15:33:16,True
144,7150,570,2024-06-16 13:58:45,True
145,64614,556,2024-10-16 16:22:50,True
146,4643,459,2024-04-03 17:10:27,True
147,4980,232,2024-05-06 22:20:50,True
148,33493,445,2024-11-29 19:04:19,True
149,1416,204,2024-06-21 11:39:40,True
150,3148,455,2024-05-09 19:43:10,True
151,5378,348,2024-03-21 14:52:07,True
152,1748,564,2024-03-19 02:28:25,True
153,1997,219,2024-09-06 15:08:04,True
154,165,294,2024-01-27 00:23:19,True
155,86880,176,2024-04-23 11:00:29,True
156,339,68,2024-02-26 15:08:30,True
157,116,41,2024-08-20 03:12:53,True
158,410,108,2024-12-07 07:58:21,True
159,293,144,2024-02-14 00:08:22,True
160,1644,238,2024-03-21 05:42:57,True
161,628,28,2024-10-19 21:11:10,True
162,1219,108,2024-04-29 11:20:21,True
163,1094,164,2024-06-30 00:13:49,True
164,87306,417,2024-11-13 21:39:52,True
165,4270,504,2024-01-31 06:15:11,False
166,589,147,2024-01-01 11:08:15,True
167,2374,191,2024-03-11 18:45:52,True
168,6711,465,2024-05-08 20:40:20,True
