"movieId","title","url","runtime","revenue","budget","imdbRating","released","countries","languages","plot","imdbVotes","imdbId","year","poster","tmdbId"
"1","Toy Story","https://themoviedb.org/movie/862","81","373554033","30000000","8.3","1995-11-22","[""USA""]","[""English""]","A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.","591836","0114709","1995","https://image.tmdb.org/t/p/w440_and_h660_face/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg","862"
"2","Jumanji","https://themoviedb.org/movie/8844","104","262797249","65000000","6.9","1995-12-15","[""USA""]","[""English"","" French""]","When two kids find and play a magical board game, they release a man trapped for decades in it and a host of dangers that can only be stopped by finishing the game.","198355","0113497","1995","https://image.tmdb.org/t/p/w440_and_h660_face/vgpXmVaVyUL7GGiDeiK1mKEKzcX.jpg","8844"
"3","Grumpier Old Men","https://themoviedb.org/movie/15602","101","","","6.6","1995-12-22","[""USA""]","[""English""]","John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, just as its new female owner catches Max's attention.","18615","0113228","1995","https://image.tmdb.org/t/p/w440_and_h660_face/1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg","15602"
"4","Waiting to Exhale","https://themoviedb.org/movie/31357","124","81452156","16000000","5.6","1995-12-22","[""USA""]","[""English""]","Based on Terry McMillan's novel, this film follows four very different African-American women and their relationships with the male gender.","7210","0114885","1995","https://image.tmdb.org/t/p/w440_and_h660_face/4wjGMwPsdlvi025ZqR4rXnFDvBz.jpg","31357"
"5","Father of the Bride Part II","https://themoviedb.org/movie/11862","106","76578911","","5.9","1995-12-08","[""USA""]","[""English""]","In this sequel, George Banks deals not only with the pregnancy of his daughter, but also with the unexpected pregnancy of his wife.","25938","0113041","1995","https://image.tmdb.org/t/p/w440_and_h660_face/lf9RTErt8BSLQy98aSFblElvsCQ.jpg","11862"
"6","Heat","https://themoviedb.org/movie/949","170","187436818","60000000","8.2","1995-12-15","[""USA""]","[""English"","" Spanish""]","A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.","416316","0113277","1995","https://image.tmdb.org/t/p/w440_and_h660_face/rrBuGu0Pjq7Y2BWSI6teGfZzviY.jpg","949"
"7","Sabrina","https://themoviedb.org/movie/11860","127","53672080","58000000","6.2","1995-12-15","[""Germany"","" USA""]","[""English"","" French""]","An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.","29091","0114319","1995","https://image.tmdb.org/t/p/w440_and_h660_face/z1oNjotUI7D06J4LWQFQzdIuPnf.jpg","11860"
"8","Tom and Huck","https://themoviedb.org/movie/45325","97","23920048","","5.6","1995-12-22","[""USA""]","[""English""]","Tom and Huck witness Injun Joe's killing of Doc Robinson one night at the graveyard. When an innocent man is accused of killing the Doc, Tom steps up as a witness, not respecting the promise made to Huck to lay low.","7224","0112302","1995","https://image.tmdb.org/t/p/w440_and_h660_face/lOnbEStMnDGKWJGvPEsMoZDML1b.jpg","45325"
"9","Sudden Death","https://themoviedb.org/movie/9091","111","64350171","35000000","5.7","1995-12-22","[""USA""]","[""English""]","A former fireman takes on a group of terrorists holding the Vice President and others hostage during the seventh game of the NHL Stanley Cup finals.","24978","0114576","1995","https://image.tmdb.org/t/p/w440_and_h660_face/4Snihptli0we9I4W5QfufOdHSeV.jpg","9091"
"10","GoldenEye","https://themoviedb.org/movie/710","130","352194034","58000000","7.2","1995-11-17","[""UK"","" USA""]","[""English"","" Russian"","" Spanish""]","James Bond teams up with the lone survivor of a destroyed Russian research center to stop the hijacking of a nuclear space weapon by a fellow agent formerly believed to be dead.","194676","0113189","1995","https://image.tmdb.org/t/p/w440_and_h660_face/z0ljRnNxIO7CRBhLEO0DvLgAFPR.jpg","710"
"11","American President, The","https://themoviedb.org/movie/9087","114","107879496","62000000","6.8","1995-11-17","[""USA""]","[""English"","" French""]","Comedy-drama about a widowed U.S. president and a lobbyist who fall in love. It's all above-board, but politics is perception and sparks fly anyway.","41983","0112346","1995","https://image.tmdb.org/t/p/w440_and_h660_face/yObOAYFIHXHkFPQ3jhgkN2ezaD.jpg","9087"
"12","Dracula: Dead and Loving It","https://themoviedb.org/movie/12110","88","","","5.8","1995-12-22","[""USA"","" France""]","[""English"","" German""]","Mel Brooks' parody of the classic vampire story and its famous film adaptations.","29321","0112896","1995","https://image.tmdb.org/t/p/w440_and_h660_face/4rRfZz8YnHNRr16t3CFcJrPdXHi.jpg","12110"
"13","Balto","https://themoviedb.org/movie/21032","78","11348324","","7.1","1995-12-22","[""USA""]","[""English""]","An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.","29277","0112453","1995","https://image.tmdb.org/t/p/w440_and_h660_face/tpoaKJMRjOZl9cbZRR2aiKikyRC.jpg","21032"
"14","Nixon","https://themoviedb.org/movie/10858","192","13681765","44000000","7.1","1996-01-05","[""USA""]","[""English"","" Mandarin"","" Russian""]","A biographical story of former U.S. president Richard Milhous Nixon, from his days as a young boy to his eventual presidency which ended in shame.","23508","0113987","1995","https://image.tmdb.org/t/p/w440_and_h660_face/ORlTkdDwWU94O16MlwfIR4g5Hk.jpg","10858"
"15","Cutthroat Island","https://themoviedb.org/movie/1408","124","10017322","98000000","5.6","1995-12-22","[""USA"","" France"","" Italy"","" Germany""]","[""English""]","A female pirate and her companion race against their rivals to find a hidden island that contains a fabulous treasure.","20522","0112760","1995","https://image.tmdb.org/t/p/w440_and_h660_face/hYdeBZ4BFXivdouxLfQGWNE6zRx.jpg","1408"
"16","Casino","https://themoviedb.org/movie/524","178","116112375","52000000","8.2","1995-11-22","[""USA"","" France""]","[""English""]","Greed, deception, money, power, and murder occur between two mobster best friends and a trophy wife over a gambling empire.","320118","0112641","1995","https://image.tmdb.org/t/p/w440_and_h660_face/4TS5O1IP42bY2BvgMxL156EENy.jpg","524"
"17","Sense and Sensibility","https://themoviedb.org/movie/4584","136","134582776","16000000","7.7","1996-01-26","[""USA"","" UK""]","[""English"","" French""]","Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the titular opposites.","76082","0114388","1995","https://image.tmdb.org/t/p/w440_and_h660_face/cBK2yL3HqhFvIVd7lLtazWlRZPR.jpg","4584"
"18","Four Rooms","https://themoviedb.org/movie/5","98","4257354","4000000","6.7","1995-12-25","[""USA""]","[""English""]","Four interlocking tales that take place in a fading hotel on New Year's Eve.","75952","0113101","1995","https://image.tmdb.org/t/p/w440_and_h660_face/uZSmxBLIuZ8gpadjAWNdA5aQDAc.jpg","5"
