"person_tmdbId","movie_movieId","role"
"12899","1","Slinky Dog (voice)"
"12898","1","Buzz Lightyear (voice)"
"31","1","Woody (voice)"
"7167","1","Mr. Potato Head (voice)"
"2157","2","Alan Parrish"
"145151","2","Peter Shepherd"
"205","2","Judy Shepherd"
"8537","2","Samuel Alan Parrish / Van Pelt"
"6837","3","Max Goldman"
"13567","3","Ariel Gustafson"
"3151","3","John Gustafson"
"16757","3","Maria Sophia Coletta Ragetti"
"8851","4","Savannah Jackson"
"51359","4","Robin Stokes"
"9780","4","Bernie Harris"
"18284","4","Gloria Matthews"
"67773","5","George Banks"
"70696","5","Annie Banks-MacKenzie"
"3092","5","Nina Banks"
"519","5","Franck Eggelhoffer"
"1158","6","Lt. Vincent Hanna"
"380","6","Neil McCauley"
"5576","6","Chris Shiherlis"
"10127","6","Nate"
"15887","7","Sabrina Fairchild"
"3","7","Linus Larrabee"
"12957","7","Maude Larrabee"
"17141","7","David Larrabee"
"53283","8","Tom Sawyer"
"51214","8","Huck Finn"
"57448","8","Injun Joe"
"7867","8","Judge Thatcher"
"15111","9","Darren Francis Thomas McCord"
"6280","9","Joshua Foss"
"10361","9","Vice President Daniel Bender"
"79088","9","Emily McCord"
"517","10","James Bond"
"10696","10","Xenia Onatopp"
"48","10","Alec Trevelyan"
"10695","10","Natalya Fyodorovna Simonova"
"8349","11","A.J. MacInerney"
"521","11","Lewis Rothschild"
"3392","11","Andrew Shepherd"
"516","11","Sydney Ellen Wade"
"12688","12","Thomas Renfield"
"7633","12","Count Dracula"
"6106","12","Jonathan Harker"
"1219","12","Mina Seward"
"4724","13","Balto (voice)"
"382","13","Boris the Goose (voice)"
"12077","13","Steele the Sled Dog (voice)"
"2233","13","Jenna (voice)"
"228","14","E. Howard Hunt"
"4173","14","Richard Nixon"
"6280","14","Alexander Haig"
"11148","14","Pat Nixon"
"16935","15","Morgan Adams"
"8924","15","Dawg"
"8654","15","William Shaw"
"7868","15","John Reed"
"380","16","Sam 'Ace' Rothstein"
"4517","16","Nicky Santoro"
"4430","16","Ginger McKenna"
"4512","16","Lester Diamond"
"10726","17","John Dashwood"
"204","17","Marianne Dashwood"
"207","17","Mr. Dashwood"
"17477","17","Fanny Ferrars Dashwood"
"3123","18",""
"3124","18","Athena"
"3125","18","Elspeth"
"3122","18","Jezebel"
"206","19","Ace Ventura"
"3547","19","Fulton Greenwall"
"4001","19","Vincent Cadby"
"57096","19","Ouda"
"10814","20","John"
"9287","20","Donald Patterson"
"57755","20","Charlie"
"16866","20","Grace Santiago"
"518","21","Martin Weir"
"193","21","Harry Zimm"
"14343","21","Karen Flores"
"8891","21","Chili Palmer"
"10205","22","Helen Hudson"
"18686","22","M.J. Monahan"
"20212","22","Ruben Goetz"
"18687","22","Peter Foley"
"16483","23","Robert Rath"
"58556","23","Nicolai Tashlinkov"
"3131","23","Miguel Bain"
"1231","23","Electra"
"2453","24","Jessie Caldwell"
"4785","24","Donald Ripley"
"2714","24","Sheriff Doug Barnum"
"54789","24","Jeremy 'Powder' Reed"
"2963","25","Ben Sanderson"
"1951","25","Sera"
"6104","25","Yuri"
"6105","25","Peter"
"1350","26","Desdemona"
"2975","26","Othello"
"11181","26","Iago"
"27631","26","Cassio"
"29369","27","Tina 'Teeny' Tercell"
"2155","27","Teeny"
"12929","27","Dr. Roberta Martin"
"6886","27","Young Roberta Martin"
"30318","28","Anne Elliott"
"87415","28","Lady Russell"
"8785","28","Captain Frederick Wentworth"
"13328","28","Sir Walter Eliot"
"2372","29","One"
"13842","29","Miette"
"13843","29","Krank"
"2413","29","Le Scaphandrier / Les Clones"
"643","30","Bijou (Xiao Jinbao)"
"146097","30","Boss Tang Laoda"
"150151","30","Shuisheng"
"143358","30",""
"1160","31","Louanne Johnson"
"11902","31","Carla Nichols"
"10477","31","Hal Griffith"
"24047","31","George Grandey"
"62","32","James Cole"
"288","32","Jose"
"1077231","32","Scarface"
"975569","32","Young Cole"
"1331","34","Rex the Male Sheepdog (voice)"
"58136","34","Babe the Gallant Pig (voice)"
"52699","34","Ferdinand the Duck (voice)"
"6199","34","Fly the Female Sheepdog (voice)"
"27764","35","Ralph Partridge"
"7056","35","Dora Carrington"
"54447","35","Gerald Brenan"
"378","35","Lytton Strachey"
"4038","36","Sister Helen Prejean"
"10361","36","Earl Delacroix"
"10360","36","Hilton Barber"
"2228","36","Matthew Poncelet"
"6171","37","Seaman--Pilot"
"1467084","37","Tomas Minton"
"1467085","37","Freighter Chief"
"1467086","37","Seaman"
"1796","38","Diane Barrows"
"26472","38","Roger Callaway"
"67849","38","Amanda Lemmon / Alyssa Callaway"
"67848","38","Alyssa Callaway / Amanda Lemmon"
"5588","39","Cher Horowitz"
"22226","39","Josh Lucas"
"328","39","Tai Frasier"
"58150","39","Dionne Davenport"
"15152","40","Rev. Stephen Kumalo"
"65887","40",""
"194","40","James Jarvis"
"17764","40","John Kumalo"
"1327","41","Richard III"
"388","41","The Duke of Buckingham"
"516","41","Queen Elizabeth"
"3223","41","Earl Rivers"
"18291","42","Anthony Curtis"
"6862","42","Jose"
"66","42","Skip"
"65827","42","Kirby"
"4783","43","King Charles II"
"11207","43","John Pearce"
"3223","43","Robert Merivel"
"6416","43","Celia Clemence"
"38559","44","Lord Rayden"
"57251","44","Johnny Cage"
"57250","44","Liu Kang"
"11398","44","Shang Tsung"
"73421","45","Jimmy Emmett"
"2876","45","Larry Maretto"
"1893","45","Russel Hines"
"2227","45","Suzanne Stone"
"10774","46","Glady Joe Cleary"
"1920","46","Finn Dodd"
"2059","46","Finn's Father"
"689","46","Sally"
"192","47","Detective Lt. William Somerset"
"287","47","Detective David Mills"
"12047","47","Dead Man"
"12054","47","Detective Taylor"
"2461","48","John Smith (voice)"
"65529","48","Pocahontas (voice)"
"28010","48","Governor Ratcliffe (voice)"
"110316","48","Pocahontas (singing voice)"
"15319","49","Martin"
"54819","49","Petra"
"4569","49",""
"54818","49","Camille Baker"
"5168","50","Dean Keaton"
"9045","50","Michael McManus"
"1121","50",""
"7166","50","Todd Hockney"
"1243","52","Lenny"
"23931","52","Linda Ash"
"1661612","52",""
"23893","52",""
"27392","53","Gino"
"1180060","53","Spiro"
"1149435","53","Selimi"
"25819","53","Fiore"
"46423","54","Miss Anna Mongomery"
"6067","54","Coach Jay Huffer"
"26472","54","Sheriff Tom Palmer"
"8659","54","Edwin V. Douglas"
"10431","55","Sadie Flood"
"7268","55","Axel Goldman"
"51544","55","Georgia Flood"
"15854","55","Jake"
"18686","57","Claudia Larson"
"1466","57","Henry Larson"
"3223","57","Tommy Larson"
"10774","57","Adele Larson"
"24366","58","Pablo Neruda"
"14149","58","Telegrapher"
"10777","58","Beatrice Russo"
"67792","58","Mario Ruoppolo"
"1019878","59","Marc Lamontagne"
"1019879","59","Raymond Massicotte"
"5470","59","Assistant to Hitchcock"
"38524","59","Pierre Lamontagne"
"69301","60","Omri"
"69302","60","Little Bear"
"32225","60","Jane"
"28633","60","Victor"
"35","61","Karen McCann"
"228","61","Mack McCann"
"27261","61","Julie McCann"
"157108","61","Megan McCann"
"21105","62","Bill Meister"
"21104","62","Iris Holland"
"3019","62","Principal Helen Jacobi"
"3037","62","Glenn Holland"
"27590","63","Preach"
"66131","63","Dashiki"
"9562","63","Loc Dog"
"35690","63","Ashtray"
"5724","64","Francis 'Frank' O'Brien"
"18277","64","Roz"
"8435","64","Evan Marsh"
"5050","64","FBI Agent O'Malley"
"7676","65","Dr. Noah Faulkner"
"23970","65","Olivia Biggs"
"57868","65","Mimi Simkins"
"57869","65","T.C. Romulus"
"29459","66","Dr. Benjamin Trace"
"40009","66","Jobe Smith"
"36898","66","Dr. Cori Platt"
"58119","66","Peter Parkette"
"13689","68","Antoine"
"4275","68","Laurent Lafaye"
"35137","68","Marijo"
"25256","68","Loli"
"8396","69",""
"9781","69","Debbie"
"66","69","Smokey"
"9778","69","Craig Jones"
"1461","70","Seth Gecko"
